customer_id,age,account_tenure_months,monthly_active_days,avg_daily_usage_minutes,num_sessions_per_week,support_tickets_30d,payment_delay_days,subscription_type,has_active_promo,app_rating,num_notification_opt_out,customer_support_satisfaction,monthly_charges,churn_target,avg_active_days_3m,usage_minutes_3m,support_tickets_3m,avg_active_days_6m,usage_minutes_6m,support_tickets_6m,avg_active_days_12m,usage_minutes_12m,support_tickets_12m,engagement_score,satisfaction_score,usage_trend_3m_6m,subscription_type_enc,has_active_promo_enc
1,47,13,20,56.01515898163969,11,1,1,Basic,Yes,5,3,4,11.442227392304686,0,19.96187320429289,55.132000677169614,3,23.17277541314093,78.4508353938652,6,19.475123216873047,81.14852566319766,12,0.6105,0.9,-0.2935,0.0,1
2,37,34,1,9.46110166692198,1,0,4,Premium,No,5,0,2,21.57310727832819,0,3.414576622950442,24.497152450350544,0,0.0,11.01101324409697,0,0.3782324553211168,0.0,0,0.0592,0.7,1.1228,1.0,0
3,50,5,26,157.32839124162965,13,0,0,Basic,No,5,2,3,60.40603763931282,0,27.250584882300455,141.22824874343567,0,26.0,157.32839124162965,0,26.0,157.32839124162965,0,0.9324,0.8,-0.1017,0.0,0
4,65,46,23,79.82739911494309,10,1,0,Premium,Yes,5,1,3,12.853432238177543,0,21.39062192295101,81.77668638742809,3,25.72413552000175,102.0481561717789,6,22.959399557215544,26.70792336916604,12,0.7156,0.8,-0.1967,1.0,1
5,37,2,20,50.33975873136917,10,0,3,Premium,No,5,1,5,21.836825808512767,1,13.333333333333332,33.55983915424611,0,20.0,50.33975873136917,0,20.0,50.33975873136917,0,0.5773,1.0,-0.3268,1.0,0
6,38,53,26,72.95666034620903,11,0,0,VIP,No,4,0,4,44.34836256191283,0,22.928347031960953,77.18580358990583,0,27.929045039297417,67.64945057479105,0,27.56471837483561,71.95529565143079,0,0.747,0.8,0.1389,,0
7,63,25,23,77.58760455911218,11,0,24,Basic,Yes,3,0,5,10.00218616612575,0,23.55139419129525,58.75570843812241,0,24.57374162183667,95.18588827106136,0,25.968485011671035,36.52596491725174,0,0.7224,0.8,-0.3787,0.0,1
8,51,2,25,68.14108601872748,12,7,1,Basic,No,2,1,4,11.351982883357667,1,16.666666666666664,45.42739067915165,4,25.0,68.14108601872748,2,25.0,68.14108601872748,1,0.7319,0.6,-0.3285,0.0,0
9,34,8,21,58.53129939934912,10,1,1,Premium,Yes,5,0,5,19.77261570545251,0,18.02555058488427,77.92032110064527,3,18.716603771949877,50.951045112453635,6,21.0,58.53129939934912,0,0.618,1.0,0.5191,1.0,1
10,49,15,13,35.37896125991434,5,1,3,Premium,No,5,2,3,24.40502869074424,1,10.731637980400556,29.920731608892787,3,12.06273130971043,24.579131836146132,6,14.041373486462454,38.26481181797297,12,0.3627,0.8,0.2088,1.0,0
11,33,29,25,79.52216263055419,12,0,3,Premium,No,5,2,5,14.920001976027145,1,24.901520960318734,64.4460357535445,0,25.656979714319963,67.79511746291176,0,23.854170937882593,73.32298851317422,0,0.7698,1.0,-0.0487,1.0,0
